,Ticker,Exchange,Name,Sector,Industry
0,AABA,NASDAQ,Altaba Inc,Technology,Edp Services
1,AAL,NASDAQ,American Airlines Group Inc,Transportation,Air Freight Delivery Services
2,AAME,NASDAQ,Atlantic American Corporation,Finance,Life Insurance
3,AAOI,NASDAQ,Applied Optoelectronics Inc,Technology,Semiconductors
4,AAON,NASDAQ,Aaon Inc,Capital Goods,Industrial Machinery Components
5,AAPL,NASDAQ,Apple Inc,Technology,Computer Manufacturing
6,AAWW,NASDAQ,Atlas Air Worldwide Holdings,Transportation,Transportation Services
7,AAXJ,NASDAQ,Ishares Msci All Country Asia Ex Japan Index Fund,Missing,Missing
8,AAXN,NASDAQ,Axon Enterprise Inc,Capital Goods,Ordnance And Accessories
9,ABAC,NASDAQ,Renmin Tianli Group Inc,Consumer Nondurables,Farming Seeds Milling
10,ABAX,NASDAQ,Abaxis Inc,Capital Goods,Industrial Machinery Components
11,ABCB,NASDAQ,Ameris Bancorp,Finance,Major Banks
12,ABCD,NASDAQ,Cambium Learning Group Inc,Consumer Services,Publishing
13,ABDC,NASDAQ,Alcentra Capital Corp,Missing,Missing
14,ABEO,NASDAQ,Abeona Therapeutics Inc,Health Care,Major Pharmaceuticals
15,ABEOW,NASDAQ,Abeona Therapeutics Inc,Health Care,Major Pharmaceuticals
16,ABIL,NASDAQ,Ability Inc,Consumer Durables,Telecommunications Equipment
17,ABIO,NASDAQ,Arca Biopharma Inc,Health Care,Biotechnology In Vitro And In Vivo Diagnostic Substances
18,ABLX,NASDAQ,Ablynx Nv,Health Care,Biotechnology Biological Products No Diagnostic Substances
19,ABMD,NASDAQ,Abiomed Inc,Health Care,Medical Dental Instruments
20,ABP,NASDAQ,Abpro Corporation,Missing,Missing
21,ABTX,NASDAQ,Allegiance Bancshares Inc,Finance,Major Banks
22,ABUS,NASDAQ,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals
23,ACAD,NASDAQ,Acadia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
24,ACBI,NASDAQ,Atlantic Capital Bancshares Inc,Finance,Major Banks
25,ACER,NASDAQ,Acer Therapeutics Inc,Health Care,Major Pharmaceuticals
26,ACET,NASDAQ,Aceto Corporation,Health Care,Other Pharmaceuticals
27,ACFC,NASDAQ,Atlantic Coast Financial Corporation,Finance,Savings Institutions
28,ACGL,NASDAQ,Arch Capital Group Ltd,Finance,Propertycasualty Insurers
29,ACGLO,NASDAQ,Arch Capital Group Ltd,Finance,Propertycasualty Insurers
30,ACGLP,NASDAQ,Arch Capital Group Ltd,Finance,Propertycasualty Insurers
31,ACHC,NASDAQ,Acadia Healthcare Company Inc,Health Care,Medical Specialities
32,ACHN,NASDAQ,Achillion Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
33,ACHV,NASDAQ,Achieve Life Sciences Inc,Health Care,Biotechnology In Vitro And In Vivo Diagnostic Substances
34,ACIA,NASDAQ,Acacia Communications Inc,Technology,Semiconductors
35,ACIU,NASDAQ,Ac Immune Sa,Health Care,Major Pharmaceuticals
36,ACIW,NASDAQ,Aci Worldwide Inc,Technology,Computer Software Prepackaged Software
37,ACLS,NASDAQ,Axcelis Technologies Inc,Technology,Industrial Machinery Components
38,ACMR,NASDAQ,Acm Research Inc,Technology,Industrial Machinery Components
39,ACNB,NASDAQ,Acnb Corporation,Finance,Major Banks
40,ACOR,NASDAQ,Acorda Therapeutics Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
41,ACRS,NASDAQ,Aclaris Therapeutics Inc,Health Care,Major Pharmaceuticals
42,ACRX,NASDAQ,Acelrx Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
43,ACSF,NASDAQ,American Capital Senior Floating Ltd,Missing,Missing
44,ACST,NASDAQ,Acasti Pharma Inc,Health Care,Major Pharmaceuticals
45,ACT,NASDAQ,Advisorshares Vice Etf,Missing,Missing
46,ACTG,NASDAQ,Acacia Research Corporation,Miscellaneous,Multisector Companies
47,ACWI,NASDAQ,Ishares Msci Acwi Index Fund,Missing,Missing
48,ACWX,NASDAQ,Ishares Msci Acwi Ex Us Index Fund,Missing,Missing
49,ACXM,NASDAQ,Acxiom Corporation,Technology,Edp Services
50,ADAP,NASDAQ,Adaptimmune Therapeutics Plc,Health Care,Biotechnology Biological Products No Diagnostic Substances
51,ADBE,NASDAQ,Adobe Systems Incorporated,Technology,Computer Software Prepackaged Software
52,ADES,NASDAQ,Advanced Emissions Solutions Inc,Basic Industries,Major Chemicals
53,ADI,NASDAQ,Analog Devices Inc,Technology,Semiconductors
54,ADMA,NASDAQ,Adma Biologics Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
55,ADMP,NASDAQ,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
56,ADMS,NASDAQ,Adamas Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
57,ADOM,NASDAQ,Adomani Inc,Capital Goods,Auto Partsoem
58,ADP,NASDAQ,Automatic Data Processing Inc,Technology,Edp Services
59,ADRA,NASDAQ,Bldrs Asia 50 Adr Index Fund,Missing,Missing
60,ADRD,NASDAQ,Bldrs Developed Markets 100 Adr Index Fund,Missing,Missing
61,ADRE,NASDAQ,Bldrs Emerging Markets 50 Adr Index Fund,Missing,Missing
62,ADRO,NASDAQ,Aduro Biotech Inc,Health Care,Major Pharmaceuticals
63,ADRU,NASDAQ,Bldrs Europe 100 Adr Index Fund,Missing,Missing
